epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.466,2.51159,4.19325,2.23257,0.00174,0.31944,0.0041,0.00103,3.45266,5.26244,3.0843,0.00031673,0.00031673,0.00031673
2,258.596,2.39576,3.90463,2.1603,0.00201,0.34127,0.00817,0.00241,2.99425,4.80358,3.02915,0.000637257,0.000637257,0.000637257
3,393.882,2.42062,3.75143,2.18965,0.00139,0.2381,0.00337,0.00066,2.96541,4.54777,2.98371,0.000944582,0.000944582,0.000944582
4,526.014,2.46569,3.81431,2.27032,0.00332,0.62103,0.00426,0.00112,2.83182,4.91104,2.95834,0.0012387,0.0012387,0.0012387
5,658.405,2.49119,3.7471,2.33773,0.0271,0.0377,0.01108,0.00339,2.37815,4.44584,3.01216,0.00151962,0.00151962,0.00151962
6,791.807,2.48626,3.58415,2.34306,0.00563,0.08929,0.00425,0.00096,2.90587,15.9123,3.45376,0.00150197,0.00150197,0.00150197
7,921.16,2.44004,3.58084,2.31232,0.60112,0.07143,0.03233,0.00946,3.14535,5.25068,3.60843,0.00146896,0.00146896,0.00146896
8,1046.88,2.39781,3.477,2.25137,0.05655,0.08532,0.01769,0.00395,3.2006,4.16324,3.17996,0.00143595,0.00143595,0.00143595
9,1166.45,2.4348,3.3624,2.23456,0.00966,0.04762,0.01084,0.00372,2.72397,4.46571,2.63378,0.00140295,0.00140295,0.00140295
10,1287.43,2.40553,3.24812,2.29063,0.05459,0.23214,0.04594,0.00779,2.83199,6.40112,2.94466,0.00136994,0.00136994,0.00136994
11,1407.25,2.34,3.23808,2.28218,0.20614,0.04249,0.03998,0.01267,2.97495,4.07221,2.79359,0.00133693,0.00133693,0.00133693
12,1526.4,2.32057,3.14773,2.19769,0.10537,0.09524,0.05195,0.0151,2.56823,3.67573,2.5742,0.00130393,0.00130393,0.00130393
13,1645.98,2.28718,3.11639,2.15949,0.12817,0.16071,0.11386,0.03317,2.46299,3.98666,2.59691,0.00127092,0.00127092,0.00127092
14,1764.87,2.26149,2.98346,2.14836,0.15086,0.07143,0.0603,0.02825,2.25462,5.27556,2.41344,0.00123791,0.00123791,0.00123791
15,1884.85,2.20637,3.02173,2.1752,0.21353,0.0754,0.06755,0.01806,2.43769,3.74021,2.50595,0.00120491,0.00120491,0.00120491
16,2003.61,2.29298,2.9864,2.16957,0.04853,0.09524,0.0301,0.00704,2.67083,3.88715,2.5194,0.0011719,0.0011719,0.0011719
17,2122.33,2.16443,2.81947,2.07365,0.04835,0.09921,0.03176,0.00924,2.39975,3.7181,2.37914,0.00113889,0.00113889,0.00113889
18,2243.18,2.22019,2.88021,2.12754,0.20039,0.08929,0.07198,0.01876,2.48203,3.80362,2.43616,0.00110589,0.00110589,0.00110589
19,2364.49,2.17391,2.73414,2.08949,0.05545,0.12302,0.02718,0.00949,2.73693,3.87415,2.55536,0.00107288,0.00107288,0.00107288
20,2488.85,2.18729,2.73446,2.07732,0.06769,0.20833,0.09189,0.03287,2.455,3.22685,2.34131,0.00103987,0.00103987,0.00103987
21,2616.8,2.1264,2.68286,2.036,0.09528,0.17751,0.04238,0.012,2.71882,3.29581,2.50525,0.00100687,0.00100687,0.00100687
22,2750.11,2.03551,2.64146,1.98879,0.17037,0.09524,0.08585,0.02436,2.29661,3.47839,2.34837,0.000973861,0.000973861,0.000973861
23,2881.79,2.04844,2.62391,2.00607,0.09229,0.08929,0.04117,0.01228,2.68645,3.56856,2.53715,0.000940855,0.000940855,0.000940855
24,3011.33,2.04498,2.58373,1.99222,0.18529,0.04762,0.06982,0.0175,2.61916,3.44597,2.52007,0.000907848,0.000907848,0.000907848
25,3135.4,2.04191,2.5157,1.95579,0.16258,0.14087,0.0685,0.01691,2.52408,3.61601,2.49987,0.000874842,0.000874842,0.000874842
26,3257.07,1.99544,2.41521,1.9495,0.08055,0.16071,0.05433,0.01489,2.39848,3.22559,2.49931,0.000841835,0.000841835,0.000841835
27,3378.39,1.99017,2.40979,1.93419,0.08914,0.15675,0.05316,0.01394,2.41738,3.52651,2.47165,0.000808828,0.000808828,0.000808828
28,3498.85,1.96498,2.32182,1.90767,0.07225,0.17063,0.05909,0.01718,2.49429,3.63134,2.4792,0.000775822,0.000775822,0.000775822
29,3623.71,1.90935,2.30544,1.85836,0.12205,0.24603,0.07659,0.01958,2.73826,3.44611,2.6429,0.000742815,0.000742815,0.000742815
30,3752.26,1.9255,2.3402,1.888,0.11885,0.1566,0.05298,0.01716,2.54744,3.2961,2.45169,0.000709809,0.000709809,0.000709809
31,3882.28,1.8369,2.18926,1.82703,0.13192,0.22222,0.08238,0.02438,2.67364,3.3211,2.57469,0.000676802,0.000676802,0.000676802
32,4008.96,1.78309,2.13523,1.7703,0.1009,0.25595,0.0645,0.02044,2.77313,3.09534,2.75368,0.000643795,0.000643795,0.000643795
33,4131.23,1.82822,2.1334,1.84619,0.07609,0.16071,0.06797,0.02131,2.58651,3.41686,2.62322,0.000610789,0.000610789,0.000610789
34,4255.27,1.77209,2.13459,1.80421,0.06082,0.10317,0.04798,0.01196,2.5583,3.48857,2.57447,0.000577782,0.000577782,0.000577782
35,4377.74,1.74295,1.99476,1.73455,0.0696,0.18849,0.04755,0.0158,2.9181,3.40536,2.81262,0.000544776,0.000544776,0.000544776
36,4502.82,1.7502,2.04621,1.76834,0.12671,0.17857,0.07393,0.02233,2.72565,2.96981,2.87498,0.000511769,0.000511769,0.000511769
37,4626.63,1.71348,1.98966,1.73475,0.06939,0.09921,0.05133,0.01514,2.70655,3.66483,2.60884,0.000478762,0.000478762,0.000478762
38,4746.6,1.66376,2.00503,1.75766,0.13328,0.20238,0.07764,0.0185,2.85031,3.33562,2.74193,0.000445756,0.000445756,0.000445756
39,4868.47,1.68083,1.94214,1.70001,0.11922,0.23611,0.08005,0.02076,2.75028,3.01627,2.7784,0.000412749,0.000412749,0.000412749
40,4989.82,1.67926,1.86467,1.68944,0.16473,0.2676,0.13381,0.02783,2.63495,2.96407,2.80789,0.000379743,0.000379743,0.000379743
41,5109.75,1.68509,1.86395,1.79226,0.16939,0.25992,0.08434,0.0202,2.75483,3.15624,2.87349,0.000346736,0.000346736,0.000346736
42,5229.21,1.59496,1.70709,1.75998,0.158,0.19841,0.08477,0.02289,2.67702,3.09924,2.80586,0.000313729,0.000313729,0.000313729
43,5348.86,1.58935,1.69424,1.72596,0.16135,0.14683,0.08247,0.02174,2.50031,3.04452,2.61965,0.000280723,0.000280723,0.000280723
44,5471.78,1.53942,1.64698,1.67581,0.09217,0.17757,0.08217,0.01926,2.61434,3.0404,2.72927,0.000247716,0.000247716,0.000247716
45,5591.86,1.48347,1.57635,1.64021,0.11604,0.19358,0.08957,0.02103,2.77517,3.01677,2.9181,0.00021471,0.00021471,0.00021471
46,5711.34,1.49927,1.56167,1.65647,0.15779,0.17063,0.10018,0.02378,2.81612,2.99291,2.95221,0.000181703,0.000181703,0.000181703
47,5831.37,1.44947,1.51303,1.61902,0.13016,0.24008,0.08324,0.02143,2.8448,3.1389,2.89938,0.000148696,0.000148696,0.000148696
